epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3739.72,1.86898,3.17609,0.77505,0.5829,0.17293,0.17985,0.09775,2.2395,4.11715,0.63396,0.000363239,0.000363239,0.000363239
81,3778.92,1.71131,3.1841,0.79173,0.5829,0.17293,0.17985,0.09775,2.2395,4.11715,0.63396,0.000346736,0.000346736,0.000346736
82,3817.55,1.66292,4.09797,0.78977,0.58554,0.17074,0.18298,0.09502,2.17806,4.04369,0.63005,0.000330233,0.000330233,0.000330233
83,3854.34,1.65486,3.50402,0.83777,0.58554,0.17074,0.18298,0.09502,2.17806,4.04369,0.63005,0.000313729,0.000313729,0.000313729
84,3893.21,1.73253,3.22425,0.9046,0.59369,0.17513,0.18949,0.09423,2.27024,4.03289,0.64558,0.000297226,0.000297226,0.000297226
85,3932.28,1.45757,3.13374,0.8702,0.59369,0.17513,0.18949,0.09423,2.27024,4.03289,0.64558,0.000280723,0.000280723,0.000280723
86,3970.92,1.67161,3.64338,0.72398,0.57391,0.17293,0.1864,0.10241,2.23868,4.06272,0.64662,0.00026422,0.00026422,0.00026422
87,4008.75,1.73318,3.76565,0.88997,0.57391,0.17293,0.1864,0.10241,2.23868,4.06272,0.64662,0.000247716,0.000247716,0.000247716
88,4051,2.01519,3.84654,0.83692,0.56128,0.17293,0.18626,0.1037,2.13458,4.13073,0.63704,0.000231213,0.000231213,0.000231213
89,4090.01,1.54693,3.24442,0.93936,0.56128,0.17293,0.18626,0.1037,2.13458,4.13073,0.63704,0.00021471,0.00021471,0.00021471
90,4127.53,1.74116,3.56424,0.94563,0.58023,0.17293,0.18825,0.11297,2.06039,4.11607,0.63715,0.000198206,0.000198206,0.000198206
